SleepInd,pEffort,uaI,uaI(-1),DeltaHrtwo,FatigInd
-4.0,8.0,2.22,1.72,10.0,Optimal
-4.6,5.0,2.33,0.0,0.0,Optimal
-3.0,3.0,2.0,2.0,-6.0,Optimal
-7.0,4.0,1.68,2.59,18.0,Optimal
-5.5,6.0,2.0,2.0,9.0,Optimal
-4.0,4.0,2.0,2.0,13.0,Optimal
-7.0,3.0,2.0,2.0,0.0,Optimal
-5.0,5.0,2.42,2.11,0.0,Optimal
-5.0,4.0,2.73,2.76,0.0,Optimal
-4.0,4.0,1.87,2.2,6.0,Optimal
-7.5,5.0,2.0,2.0,12.0,Optimal
-5.5,4.0,2.0,2.0,-6.0,Optimal
-6.5,5.0,1.85,2.88,6.0,Optimal
-5.0,4.0,2.3,0.0,0.0,Optimal
-6.0,4.0,2.0,2.0,12.0,Optimal
-7.5,1.0,0.0,0.0,0.0,Optimal
-4.0,5.0,2.52,1.85,0.0,Optimal
-6.0,6.0,2.0,2.0,0.0,Optimal
-5.0,1.0,0.0,1.92,-12.0,Optimal
-5.5,3.0,2.0,2.0,0.0,Optimal
-4.0,5.0,1.8,3.02,20.0,Risk/Caution
-4.302172351467832,6.151086175733916,2.7421527829275454,2.0725872532211116,-5.439102326420979,Risk/Caution
-2.3620004089887283,4.82799754606763,1.635599509213526,2.127959828224734,15.928017995504046,Risk/Caution
-3.0,6.0,2.2,0.0,0.0,Risk/Caution
-0.5,6.0,2.3,0.0,0.0,Risk/Caution
-3.950556414019871,6.4505564140198715,2.4427503863089424,2.039780602771093,22.0,Risk/Caution
-4.968727186517612,5.015636406741194,2.309530907797764,2.740618155955284,22.0,Risk/Caution
-3.3,8.0,2.4,2.53,-6.0,Risk/Caution
-5.0,6.0,2.86,2.13,25.0,Risk/Caution
-3.392965752313315,6.0,2.5657490407402608,2.373226232754465,25.64220548612011,Risk/Caution
-2.0,7.0,2.07,2.28,0.0,Risk/Caution
-4.5,7.0,2.76,2.21,-24.0,Risk/Caution
-3.853255912640981,5.293488174718038,2.0,2.0,27.239070951691772,Risk/Caution
-2.8,5.0,1.72,2.58,30.0,Risk/Caution
